Request ID,Telegram ID,Junona ID,UID,Amount,Status,Request Time,Completion Time
1,6148271304,J0001,123456789,100.00,отменено,2025-06-13 02:39:49,
2,6148271304,J0001,123456789,150.00,отменено,2025-06-13 02:53:44,
3,6148271304,J0001,123456789,345.00,исполнено,2025-06-13 02:55:56,2025-06-13 02:56:22
4,6148271304,J0001,123456789,100.00,исполнено,2025-06-13 03:31:14,2025-06-13 03:41:45
5,6148271304,J0001,123456789,222.00,исполнено,2025-06-13 03:44:25,2025-06-13 03:46:20
6,6148271304,J0001,389342434,200.00,отменено,2025-06-13 19:26:21,
